Date,Open,High,Low,Close,Adj Close,Volume
2020-02-01,11.960000,12.620000,8.790000,9.540000,9.146201,854973062
2020-03-01,9.900000,10.620000,6.760000,8.170000,7.832754,1970202565
2020-04-01,7.990000,8.940000,7.470000,8.330000,7.986149,2538130051
2020-05-01,8.330000,8.330000,7.510000,7.850000,7.525962,2083406205
2020-06-01,7.930000,8.650000,7.890000,8.480000,8.129956,3176554221
2020-07-01,8.530000,8.550000,6.960000,7.020000,6.730224,2895236787
2020-08-01,7.020000,7.370000,6.240000,6.790000,6.509717,3389846523
2020-09-01,6.800000,7.340000,6.440000,7.100000,6.806921,3338817685
2020-10-01,7.160000,7.610000,6.590000,6.610000,6.337148,4097943897
2020-11-01,6.640000,9.680000,6.600000,8.770000,8.407987,8544977787
2020-12-01,8.910000,10.510000,8.790000,10.470000,10.037813,5439395670
2021-01-01,10.470000,10.810000,8.970000,9.310000,8.925696,3447548264
2021-02-01,9.400000,10.300000,8.780000,8.920000,8.551795,3213992630
2021-03-01,9.090000,9.450000,6.660000,6.690000,6.413846,6480711629
2021-04-01,6.740000,7.450000,6.580000,7.210000,6.912381,4745779810
2021-05-01,7.210000,8.300000,7.190000,7.990000,7.825513,3297969206
2021-06-01,8.030000,8.550000,7.930000,8.300000,8.129132,3150323401
2021-07-01,8.310000,8.780000,8.040000,8.520000,8.344603,2077656716
2021-08-01,8.560000,9.910000,8.450000,9.880000,9.676605,3582300826
2021-09-01,9.920000,9.970000,8.780000,9.240000,9.049780,3800341844
2021-10-01,9.170000,9.850000,8.750000,9.850000,9.647223,4670604290
2021-11-01,9.900000,12.540000,9.660000,11.420000,11.184901,6173892645
2021-12-01,11.500000,13.580000,10.880000,11.270000,11.037990,7029511365
2022-01-01,11.290000,12.160000,11.290000,11.910000,11.664814,4115279365
2022-02-01,11.960000,12.320000,10.910000,11.080000,10.851901,2283655367
2022-03-01,11.180000,12.300000,11.180000,12.200000,11.948844,3841083815
2022-04-01,12.300000,15.120000,12.250000,14.980000,14.671613,5347259483
2022-05-01,14.980000,17.090000,14.170000,14.550000,14.250466,2122462192
2022-06-01,14.620000,16.200001,13.800000,13.900000,13.900000,1658739638
2022-07-01,13.780000,15.840000,13.370000,14.520000,14.520000,740371524
2022-08-01,14.520000,27.540001,14.520000,23.000000,23.000000,2541976377
2022-09-01,23.020000,31.639999,18.440001,18.610001,18.610001,2955508370
2022-09-23,19.160000,19.430000,18.610001,18.610001,18.610001,69821010
