Date,Open,High,Low,Close,Adj Close,Volume
2020-02-01,174147.406250,183478.703125,131270.500000,139920.593750,139920.593750,10544800
2020-03-01,144565.906250,155995.796875,105551.203125,117559.898438,117559.898438,12075300
2020-04-01,115255.500000,129159.500000,111749.898438,123426.703125,123426.703125,13608800
2020-05-01,122188.203125,123007.500000,117202.500000,122080.703125,122080.703125,10639000
2020-06-01,123332.796875,135696.500000,122796.500000,133474.203125,133474.203125,21835700
2020-07-01,134476.703125,134665.593750,1149.300049,1152.000000,1152.000000,22489800
2020-08-01,1165.500000,1185.699951,1014.099976,1096.300049,1096.300049,20588100
2020-09-01,1100.300049,1180.400024,1063.599976,1156.599976,1156.599976,17653000
2020-10-01,1163.300049,1263.599976,1119.400024,1134.699951,1134.699951,35000000
2020-11-01,1143.800049,1536.599976,1129.500000,1407.000000,1407.000000,55345100
2020-12-01,1429.000000,1574.400024,1393.800049,1557.800049,1557.800049,35749900
2021-01-01,1562.199951,1654.500000,1396.199951,1426.800049,1426.800049,30094100
2021-02-01,1439.199951,1533.599976,1338.300049,1356.199951,1356.199951,24323400
2021-03-01,1375.000000,1433.500000,1075.699951,1076.000000,1076.000000,24833400
2021-04-01,1081.099976,1158.300049,1048.900024,1099.699951,1099.699951,17490000
2021-05-01,1099.400024,1206.000000,1099.300049,1172.199951,1172.199951,10703500
2021-06-01,1177.199951,1256.099976,1170.400024,1195.599976,1195.599976,16140000
2021-07-01,1198.699951,1244.000000,1164.800049,1215.699951,1215.699951,8445000
2021-08-01,1222.699951,1356.599976,1211.599976,1352.800049,1352.800049,14664100
2021-09-01,1357.199951,1367.099976,1196.000000,1244.099976,1244.099976,15574300
2021-10-01,1234.900024,1349.199951,1198.500000,1346.599976,1346.599976,17089200
2021-11-01,1352.300049,1728.900024,1348.900024,1535.599976,1535.599976,35610800
2021-12-01,1546.599976,1975.000000,1546.599976,1595.699951,1595.699951,39864300
2022-01-01,1598.599976,1803.599976,1598.300049,1765.199951,1765.199951,26181500
2022-02-01,1773.500000,1821.500000,1572.099976,1601.800049,1601.800049,17094800
2022-03-01,1616.500000,1774.900024,1614.300049,1739.400024,1739.400024,17047600
2022-04-01,1752.599976,2195.500000,1740.500000,2105.199951,2105.199951,35519000
2022-05-01,2116.899902,2136.500000,1932.699951,2093.800049,2093.800049,20086800
2022-06-01,2099.000000,2238.500000,1923.199951,1942.400024,1942.400024,22455500
2022-07-01,1933.000000,2233.300049,1890.000000,2162.600098,2162.600098,14985400
2022-08-01,2166.800049,3430.500000,2166.800049,3282.600098,3282.600098,47390100
2022-09-01,3287.800049,5102.500000,2859.500000,2964.699951,2964.699951,57141400
